"","Adres","Aangeboden sinds","Verkoopdatum","Looptijd","Laatste vraagprijs","Vraagprijs per m²","Status","Bijdrage VvE","Soort appartement","Soort bouw","Bouwjaar","Soort dak","Wonen","Gebouwgebonden buitenruimte","Externe bergruimte","Inhoud","Aantal kamers","Aantal badkamers","Badkamervoorzieningen","Aantal woonlagen","Gelegen op","Voorzieningen","Voorlopig energielabel","Isolatie","Verwarming","Warm water","Cv-ketel","Eigendomssituatie","Ligging","Balkon/dakterras","Schuur/berging","Soort garage","Soort parkeergelegenheid","Inschrijving KvK","Jaarlijkse vergadering","Periodieke bijdrage","Reservefonds aanwezig","Onderhoudsplan","Opstalverzekering","Soort woonhuis","Overige inpandige ruimte","Perceel","Energielabel","Oppervlakte","Tuin","Achtertuin","Ligging tuin","Capaciteit"
"40","Oeslingerbaan 103 B","13 februari 2021","8 maart 2021","3 weken","€ 480.000 kosten koper","€ 3.934","Verkocht","€ 184,00 per maand","Portiekflat (appartement)","Bestaande bouw","2006","Plat dak","122 m²","12 m²","22 m²","396 m³","3 kamers (1 slaapkamer)","1 badkamer en 1 apart toilet","Toilet","1 woonlaag","2e woonlaag","Elektra",NA,"Dakisolatie, HR-glas, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel","HR (gas gestookt combiketel, eigendom)","Volle eigendom","Open ligging en vrij uitzicht","Balkon aanwezig",NA,"Garagebox","Openbaar parkeren","Ja","Ja","Ja (€ 184,00 per maand)","Ja","Ja","Ja",NA,NA,NA,"A Wat betekent dit?",NA,"Zonneterras",NA,"Gelegen op het westen","1 auto"
"41","Kapelaanstraat 80","9 februari 2021","9 maart 2021","4 weken","€ 195.000 kosten koper","€ 2.438","Verkocht",NA,NA,"Bestaande bouw","1955","Zadeldak bedekt met pannen","80 m²",NA,NA,"375 m³","6 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche","3 woonlagen",NA,"Rolluiken en TV kabel",NA,"Dakisolatie en dubbel glas","Cv-ketel","Cv-ketel","Remeha Avanta HR (gas gestookt combiketel uit 2009, eigendom)","Volle eigendom","Aan rustige weg, landelijk gelegen en vrij uitzicht",NA,"Aangebouwde stenen berging","Garage mogelijk en parkeerplaats","Op eigen terrein en openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, 2-onder-1-kapwoning","47 m²","320 m²","E 2,17 Wat betekent dit?","320 m²","Achtertuin, voortuin en zijtuin","189 m² (23 meter diep en 8,2 meter breed)","Gelegen op het zuidwesten bereikbaar via achterom",NA
"42","Reinier Langhalsstraat 8","15 maart 2019","1 april 2019","2 weken","€ 359.500 kosten koper
Hypotheekadvies","€ 2.586",NA,NA,NA,"Bestaande bouw","2007",NA,NA,NA,NA,"486 m³","7 kamers (4 slaapkamers)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning",NA,NA,"A Wat betekent dit?","139 m² wonen / 150 m² perceel",NA,NA,NA,NA
"43","Sphinxlunet 40 B","9 februari 2019","23 maart 2019","6 weken","€ 279.000 kosten koper
Hypotheekadvies","€ 3.875",NA,NA,"Portiekflat (appartement)","Bestaande bouw","1992",NA,NA,NA,NA,"218 m³","4 kamers (1 slaapkamer)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C Wat betekent dit?","72 m² wonen",NA,NA,NA,NA
"44","Habsburgerplein 26","29 februari 2020","1 april 2020","4 weken","€ 249.000 kosten koper
Hypotheekadvies","€ 2.767",NA,NA,NA,"Bestaande bouw","1991",NA,NA,NA,NA,"343 m³","6 kamers (3 slaapkamers)",NA,NA,NA,NA,NA,"B Wat betekent dit?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, hoekwoning",NA,NA,NA,"90 m² wonen / 158 m² perceel",NA,NA,NA,NA
"45","Tarwehegge 32","27 september 2019","1 november 2019","5 weken","€ 239.000 kosten koper
Hypotheekadvies","€ 2.598",NA,NA,NA,"Bestaande bouw","1997",NA,NA,NA,NA,"320 m³","6 kamers (3 slaapkamers)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning",NA,NA,"B Wat betekent dit?","92 m² wonen / 122 m² perceel",NA,NA,NA,NA
"46","Bogaardenstraat 39","12 februari 2021","8 maart 2021","3 weken","€ 380.000 kosten koper","€ 3.115","Verkocht",NA,NA,"Bestaande bouw","1850","Zadeldak bedekt met pannen","122 m²",NA,NA,"488 m³","7 kamers (6 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","4 woonlagen, een vliering en een kelder",NA,"Mechanische ventilatie",NA,"Dubbel glas","Cv-ketel","Cv-ketel","Remeha (gas gestookt uit 2006, eigendom)","Gemeentelijke erfpacht","In centrum",NA,NA,NA,"Betaald parkeren en parkeervergunningen",NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning","22 m²","110 m²","D Wat betekent dit?","110 m²","Achtertuin","60 m² (17 meter diep en 3,53 meter breed)","Gelegen op het oosten",NA
"47","Spinetlaan 40","22 januari 2021","11 februari 2021","2 weken","€ 209.000 kosten koper","€ 2.459","Verkocht",NA,NA,"Bestaande bouw","1998","Plat dak bedekt met bitumineuze dakbedekking","85 m²","34 m²",NA,"280 m³","3 kamers (2 slaapkamers)","1 badkamer","Toilet","2 woonlagen",NA,"Airconditioning en mechanische ventilatie","B Wat betekent dit?","Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel","HR Remeha (gas gestookt combiketel uit 2014, eigendom)","Volle eigendom","In woonwijk","Dakterras aanwezig",NA,NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, hoekwoning",NA,"142 m²",NA,"142 m²","Achtertuin en voortuin","23 m² (6 meter diep en 3,9 meter breed)","Gelegen op het noorden bereikbaar via achterom",NA
"48","Populierweg 116","23 mei 2020","8 januari 2021","7½ maand","€ 320.000 kosten koper
Hypotheekadvies","€ 1.939",NA,NA,NA,"Bestaande bouw","1939",NA,NA,NA,NA,"676 m³","12 kamers (6 slaapkamers)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning",NA,NA,"E Wat betekent dit?","165 m² wonen / 203 m² perceel",NA,NA,NA,NA
"49","Holsteinbastion 21","28 maart 2020","4 september 2020","5 maanden","€ 290.000 kosten koper
Hypotheekadvies","€ 2.685",NA,NA,NA,"Bestaande bouw","1955",NA,NA,NA,NA,"430 m³","8 kamers (5 slaapkamers)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning",NA,NA,"E Wat betekent dit?","108 m² wonen / 110 m² perceel",NA,NA,NA,NA
"50","Meidoorn 119 B","26 juni 2019","29 juli 2019","4 weken","€ 369.000 kosten koper
Hypotheekadvies","€ 3.295",NA,NA,NA,"Bestaande bouw","1986",NA,NA,NA,NA,"420 m³","7 kamers (4 slaapkamers)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, halfvrijstaande woning",NA,NA,"C Wat betekent dit?","112 m² wonen / 246 m² perceel",NA,NA,NA,NA
"51","Keramieksingel 19","13 december 2018","1 mei 2019","4½ maand","€ 249.000 kosten koper
Hypotheekadvies","€ 2.490",NA,NA,NA,"Bestaande bouw","1962",NA,NA,NA,NA,"367 m³","9 kamers (4 slaapkamers)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, 2-onder-1-kapwoning",NA,NA,"C Wat betekent dit?","100 m² wonen / 241 m² perceel",NA,NA,NA,NA
"52","Meerssenerweg 129","13 juni 2018","1 maart 2019","8½ maand","€ 189.900 kosten koper
Hypotheekadvies","€ 2.234",NA,NA,NA,"Bestaande bouw","1910",NA,NA,NA,NA,"355 m³","8 kamers (4 slaapkamers)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, hoekwoning",NA,NA,"G Wat betekent dit?","85 m² wonen / 158 m² perceel",NA,NA,NA,NA
"53","Pastoor de Weverstraat 5","7 augustus 2020","31 augustus 2020","3 weken","€ 200.000 kosten koper
Hypotheekadvies","€ 2.083",NA,NA,NA,"Bestaande bouw","1952",NA,NA,NA,NA,"447 m³","9 kamers (3 slaapkamers)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning",NA,NA,"F Wat betekent dit?","96 m² wonen / 181 m² perceel",NA,NA,NA,NA
"54","Ireneweg 38 A","12 november 2019","6 augustus 2020","8½ maand","€ 125.000 kosten koper","€ 2.404",NA,NA,NA,"Bestaande bouw","1950",NA,NA,NA,NA,"232 m³","3 kamers (1 slaapkamer)",NA,NA,NA,NA,NA,"E Wat betekent dit?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, halfvrijstaande woning",NA,NA,NA,"52 m² wonen / 77 m² perceel",NA,NA,NA,NA
"55","Kleine Gracht 19 A","30 november 2018","29 april 2019","4½ maand","€ 293.000 kosten koper
Hypotheekadvies","€ 3.488",NA,NA,"Benedenwoning (appartement)","Bestaande bouw","1871",NA,NA,NA,NA,"331 m³","3 kamers (1 slaapkamer)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C Wat betekent dit?","84 m² wonen",NA,NA,NA,NA
"56","Roosnobelruwe 18","15 juni 2019","14 juni 2019",NA,"€ 159.000 kosten koper
Hypotheekadvies","€ 1.674",NA,NA,NA,"Bestaande bouw","1969",NA,NA,NA,NA,"237 m³","6 kamers (3 slaapkamers)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning",NA,NA,"C Wat betekent dit?","95 m² wonen / 115 m² perceel",NA,NA,NA,NA
"57","Rechtstraat 28","15 september 2018","22 juli 2019","10 maanden","€ 599.000 kosten koper","€ 2.604",NA,NA,NA,"Bestaande bouw","1752",NA,NA,NA,NA,"610 m³","12 kamers (5 slaapkamers)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Herenhuis, halfvrijstaande woning",NA,NA,"Niet beschikbaar","230 m² wonen / 80 m² perceel",NA,NA,NA,NA
"58","Sauterneslaan 8 A","27 februari 2021","5 maart 2021","6 dagen","€ 197.500 kosten koper","€ 2.862","Verkocht","€ 168,00 per maand","Portiekflat (corridorflat)","Bestaande bouw","1979","Samengesteld dak","69 m²","43 m²","4 m²","225 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche","1 woonlaag",NA,"Lift en TV kabel",NA,"Gedeeltelijk dubbel glas","Blokverwarming","Elektrische boiler",NA,"Volle eigendom","In woonwijk en vrij uitzicht",NA,"Inpandig",NA,"Op eigen terrein","Ja","Ja","Ja (€ 168,00 per maand)","Ja","Ja","Ja",NA,NA,NA,"G 2,84 Wat betekent dit?",NA,"Achtertuin","39 m² (9 meter diep en 4,35 meter breed)","Gelegen op het oosten",NA
"59","Professor Kernstraat 30","11 februari 2021","10 maart 2021","3 weken","€ 259.000 kosten koper","€ 2.292","Verkocht",NA,NA,"Bestaande bouw","1982",NA,"113 m²",NA,"7 m²","405 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","2 woonlagen en een zolder",NA,"Elektra",NA,"Dakisolatie","Cv-ketel","Cv-ketel","Hesi (gas gestookt combiketel uit 2015, eigendom)","Volle eigendom","Aan rustige weg en in woonwijk",NA,"Vrijstaande stenen berging",NA,NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning",NA,"125 m²","C 1,48 Wat betekent dit?","125 m²","Achtertuin","50 m² (10 meter diep en 5 meter breed)","Gelegen op het westen bereikbaar via achterom",NA
"60","Spekstraat 50","27 december 2020","28 januari 2021","4 weken","€ 225.000 kosten koper","€ 2.143","Verkocht",NA,NA,"Bestaande bouw","1920",NA,"105 m²",NA,NA,"400 m³","7 kamers (3 slaapkamers)",NA,NA,"2 woonlagen en een zolder",NA,NA,"G Wat betekent dit?","Dakisolatie en dubbel glas","Cv-ketel","Cv-ketel","Combiketel uit 2017, huur","Volle eigendom",NA,NA,"Vrijstaande houten berging",NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, halfvrijstaande woning","6 m²","370 m²",NA,"370 m²","Achtertuin","257 m² (57 meter diep en 4,5 meter breed)","Gelegen op het zuidoosten bereikbaar via achterom",NA
"61","Europalaan 11","31 januari 2021","1 februari 2021","1 dag","€ 275.000 kosten koper
Hypotheekadvies","€ 2.619",NA,NA,NA,"Bestaande bouw","1957",NA,NA,NA,NA,"390 m³","8 kamers (4 slaapkamers)",NA,NA,NA,NA,NA,"E Wat betekent dit?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning",NA,NA,NA,"105 m² wonen / 168 m² perceel",NA,NA,NA,NA
"62","César Franckstraat 13","4 januari 2021","25 januari 2021","3 weken","€ 265.000 kosten koper
Hypotheekadvies","€ 3.533",NA,NA,NA,"Bestaande bouw","1966",NA,NA,NA,NA,"390 m³","3 kamers",NA,NA,NA,NA,NA,"D Wat betekent dit?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, halfvrijstaande woning",NA,NA,NA,"75 m² wonen / 244 m² perceel",NA,NA,NA,NA
"63","Brusselseweg 481 B","7 januari 2021","2 februari 2021","3 weken","€ 325.000 kosten koper","€ 2.257","Verkocht",NA,"Bovenwoning","Bestaande bouw","1969","Zadeldak bedekt met pannen","144 m²","18 m²","19 m²","402 m³","6 kamers (5 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en douche","2 woonlagen","2e woonlaag","Rolluiken, TV kabel en zonnepanelen",NA,"Dakisolatie en grotendeels dubbelglas","Cv-ketel","Cv-ketel","Gas gestookt combiketel uit 2018, eigendom","Volle eigendom","In woonwijk","Balkon aanwezig","Inpandig","Carport, parkeerplaats en vrijstaande stenen garage","Op eigen terrein en openbaar parkeren","Nee","Nee","Nee","Nee","Nee","Nee",NA,"70 m²",NA,"B Wat betekent dit?",NA,"Tuin rondom",NA,NA,"1 auto"
"64","Brusselseweg 481 A-B","7 januari 2021","2 februari 2021","3 weken","€ 600.000 kosten koper","€ 2.449","Verkocht",NA,NA,"Bestaande bouw","1969","Zadeldak bedekt met pannen","245 m²","18 m²","37 m²","1.099 m³","10 kamers (8 slaapkamers)","2 badkamers en 2 aparte toiletten","2 ligbaden en 2 douches","3 woonlagen en een kelder",NA,"Rolluiken, TV kabel en zonnepanelen",NA,"Grotendeels dubbelglas","Cv-ketel",NA,NA,"Volle eigendom","In woonwijk","Balkon aanwezig","Inpandig","Carport, parkeerplaats en vrijstaande stenen garage","Op eigen terrein en openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, vrijstaande woning","83 m²",NA,"B Wat betekent dit?",NA,"Tuin rondom",NA,NA,"5 auto's"
"65","Brusselseweg 481 A","7 januari 2021","2 februari 2021","3 weken","€ 275.000 kosten koper","€ 2.723","Verkocht",NA,"Benedenwoning","Bestaande bouw","1969","Zadeldak bedekt met pannen","101 m²",NA,"19 m²","275 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en douche","1 woonlaag","Begane grond","Rolluiken, TV kabel en zonnepanelen",NA,"Grotendeels dubbelglas","Cv-ketel",NA,"Gas gestookt, huur","Volle eigendom","In woonwijk",NA,"Inpandig","Carport, parkeerplaats en vrijstaande stenen garage","Op eigen terrein en openbaar parkeren","Nee","Nee","Nee","Nee","Nee","Nee",NA,"12 m²",NA,"B Wat betekent dit?",NA,"Tuin rondom",NA,NA,"1 auto"
"66","President Rooseveltlaan (Bouwnr. 212)","17 juli 2020","8 maart 2021","7½ maand","€ 355.000 vrij op naam","€ 4.383","Verkocht",NA,"Portiekflat","Nieuwbouw","2021",NA,"81 m²","13 m²","6 m²","211 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet",NA,"1 woonlaag","3e woonlaag",NA,"A Wat betekent dit?",NA,NA,NA,NA,NA,NA,"Balkon aanwezig",NA,NA,"Openbaar parkeren, parkeergarage en parkeervergunningen",NA,NA,NA,NA,NA,NA,NA,"4 m²",NA,NA,NA,NA,NA,NA,NA
"67","Keerderstraat 85","17 november 2020","9 februari 2021","2½ maand","€ 485.000 kosten koper","€ 1.790","Verkocht",NA,NA,"Bestaande bouw","1978","Zadeldak","271 m²",NA,NA,"731 m³","14 kamers (4 slaapkamers)","1 badkamer","Ligbad en toilet","3 woonlagen en een kelder",NA,"Elektra","C Wat betekent dit?",NA,"Heteluchtverwarming",NA,NA,NA,"Aan bosrand, in woonwijk en vrij uitzicht",NA,"Aangebouwde stenen berging","Parkeerplaats","Op afgesloten terrein en op eigen terrein",NA,NA,NA,NA,NA,NA,"Eengezinswoning, 2-onder-1-kapwoning",NA,"345 m²",NA,"345 m²",NA,NA,NA,NA
"68","Saturnushof 53","11 februari 2021","2 maart 2021","2 weken","€ 289.000 kosten koper","€ 2.369","Verkocht",NA,NA,"Bestaande bouw","1974","Zadeldak bedekt met pannen","122 m²","18 m²","28 m²","419 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet",NA,"3 woonlagen",NA,"Elektra",NA,"Dakisolatie, dubbel glas en HR-glas","Cv-ketel","Cv-ketel","Remeha (gas gestookt combiketel uit 2004, huur)","Mandelig","Aan rustige weg en in woonwijk",NA,"Vrijstaande stenen berging","Vrijstaande stenen garage","Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, eindwoning",NA,"245 m²","D Wat betekent dit?","97 m² (deelperceel)","Achtertuin en voortuin","50 m² (8,68 meter diep en 5,77 meter breed)","Gelegen op het zuiden bereikbaar via achterom","1 auto"
"69","Parkweg 6 f","19 november 2020","3 maart 2021","3 maanden","€ 650.000 kosten koper","€ 3.186","Verkocht","€ 465,88 per maand","Portiekflat (appartement)","Bestaande bouw","1979","Zadeldak bedekt met pannen","204 m²","21 m²","6 m²","668 m³","5 kamers (3 slaapkamers)","2 badkamers en 1 apart toilet","Ligbad, douche en toilet","1 woonlaag","5e woonlaag","Elektra",NA,"Dubbel glas","Cv-ketel","Cv-ketel","Intergas HRE (gas gestookt combiketel uit 2019, eigendom)","Volle eigendom","Aan water en in woonwijk","Balkon aanwezig","Inpandig","Parkeerkelder en parkeerplaats","Betaald parkeren en parkeergarage","Ja","Ja","Ja (€ 465,88 per maand)","Ja","Ja","Ja",NA,NA,NA,"B Wat betekent dit?",NA,NA,NA,NA,NA
"70","Tuindersstraat 5","11 januari 2021","25 januari 2021","14 dagen","€ 499.000 kosten koper","€ 4.495","Verkocht",NA,NA,"Bestaande bouw","1957","Zadeldak bedekt met pannen","111 m²","5 m²","6 m²","461 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","2 woonlagen, een zolder en een kelder",NA,NA,NA,"Dubbel glas","Cv-ketel","Cv-ketel","Gas gestookt uit 2019, huur","Volle eigendom","Aan rustige weg en in woonwijk","Dakterras aanwezig","Vrijstaande stenen berging",NA,"Parkeervergunningen",NA,NA,NA,NA,NA,NA,"Eengezinswoning, hoekwoning","12 m²","220 m²","E Wat betekent dit?","220 m²","Achtertuin en voortuin",NA,NA,NA
"71","Wolkammersdreef 61 B","10 februari 2021","1 maart 2021","2 weken","€ 189.000 kosten koper","€ 2.362","Verkocht",NA,"Portiekflat (appartement)","Bestaande bouw","1965","Plat dak bedekt met bitumineuze dakbedekking","80 m²",NA,NA,"254 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche","2 woonlagen","2e woonlaag","Buitenzonwering en TV kabel",NA,"Dubbel glas","Blokverwarming","Elektrische boiler (huur)",NA,NA,"Aan rustige weg en in woonwijk","Balkon aanwezig","Inpandig",NA,"Openbaar parkeren","Ja","Ja","Ja","Ja","Ja","Ja",NA,"6 m²",NA,"E 2,24 Wat betekent dit?",NA,NA,NA,NA,NA
"72","Glazeniersdreef 30 B","5 maart 2021","5 maart 2021","0 dagen","€ 195.000 kosten koper
Hypotheekadvies","€ 2.438",NA,NA,"Portiekflat","Bestaande bouw","1965",NA,NA,NA,NA,"270 m³","2 kamers",NA,NA,NA,NA,NA,"E Wat betekent dit?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80 m² wonen",NA,NA,NA,NA
"73","Valkenierstraat 30","4 december 2020","18 december 2020","14 dagen","€ 275.000 kosten koper","€ 2.594","Verkocht",NA,NA,"Bestaande bouw","1994","Plat dak bedekt met bitumineuze dakbedekking","106 m²","14 m²",NA,"416 m³","5 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","3 woonlagen",NA,"Elektrische deur en elektra",NA,"Muurisolatie","Cv-ketel","Cv-ketel en elektrische boiler","Nefit Topline (gas gestookt combiketel uit 2007, eigendom)","Volle eigendom","Aan park, aan rustige weg en in centrum","Dakterras aanwezig",NA,"Inpandig","Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning (drive-in woning)","16 m²","121 m²","A Wat betekent dit?","121 m²","Achtertuin en voortuin","55 m² (8,5 meter diep en 6,5 meter breed)","Gelegen op het westen","1 auto"
"74","Hertogsingel 72","22 december 2020","15 februari 2021","7 weken","€ 385.000 kosten koper","€ 2.251","Verkocht",NA,NA,"Bestaande bouw","1910","Samengesteld dak","171 m²","9 m²",NA,"807 m³","11 kamers (6 slaapkamers)","1 badkamer en 1 apart toilet","Douche","3 woonlagen en een kelder",NA,"Dakraam, rookkanaal en TV kabel",NA,"Geen isolatie","Cv-ketel","Geiser (huur)","Gas gestookt, eigendom","Volle eigendom","In centrum en in woonwijk","Balkon aanwezig","Aangebouwde stenen berging",NA,"Betaald parkeren en parkeervergunningen",NA,NA,NA,NA,NA,NA,"Herenhuis, tussenwoning","41 m²","180 m²","Niet verplicht","180 m²","Achtertuin en voortuin","48 m² (12 meter diep en 4 meter breed)","Gelegen op het zuidwesten",NA
"75","Herculeshof 9 K","11 februari 2021","28 februari 2021","2 weken","€ 175.000 kosten koper","€ 1.944","Verkocht","€ 259,00 per maand","Galerijflat","Bestaande bouw","1975","Plat dak bedekt met bitumineuze dakbedekking","90 m²","12 m²","7 m²","295 m³","4 kamers (3 slaapkamers)","1 badkamer","Douche en toilet","6 woonlagen","6e woonlaag",NA,"E Wat betekent dit?","Gedeeltelijk dubbel glas","Blokverwarming","Elektrische boiler (huur)",NA,"Volle eigendom","In woonwijk","Balkon aanwezig","Vrijstaande stenen berging",NA,"Openbaar parkeren","Ja","Ja","Ja (€ 259,00 per maand)","Ja","Ja","Ja",NA,"3 m²",NA,NA,NA,NA,NA,NA,NA
"76","President Rooseveltlaan (Bouwnr. 208)","17 juli 2020","4 maart 2021","7 maanden","€ 345.000 vrij op naam","€ 4.259","Verkocht",NA,"Portiekflat","Nieuwbouw","2021",NA,"81 m²","13 m²","6 m²","225 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet",NA,"1 woonlaag","2e woonlaag",NA,"A Wat betekent dit?",NA,NA,NA,NA,NA,NA,"Balkon aanwezig",NA,NA,"Openbaar parkeren, parkeergarage en parkeervergunningen",NA,NA,NA,NA,NA,NA,NA,"4 m²",NA,NA,NA,NA,NA,NA,NA
"77","Lage barakken","18 mei 2020","1 oktober 2020","4 maanden","€ 29.500 kosten koper
Hypotheekadvies",NA,"Verkocht",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Parkeerplaats",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"78","Karolingenstraat 60","10 februari 2021","26 februari 2021","2 weken","€ 195.000 kosten koper","€ 1.912","Verkocht",NA,NA,"Bestaande bouw","1951","Zadeldak","102 m²",NA,"7 m²","399 m³","8 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad","3 woonlagen",NA,"Elektra",NA,"Gedeeltelijk dubbel glas","Cv-ketel","Cv-ketel","Gas gestookt combiketel uit 2019, huur","Volle eigendom","Aan rustige weg, beschutte ligging en in woonwijk",NA,"Vrijstaande stenen berging",NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning","4 m²","116 m²","D Wat betekent dit?","116 m²","Achtertuin en voortuin","0,08 meter diep en 0,06 meter breed","Gelegen op het noorden bereikbaar via achterom",NA
