"","Adres","Aangeboden sinds","Verkoopdatum","Looptijd","Laatste vraagprijs","Vraagprijs per m²","Status","Soort woonhuis","Soort bouw","Bouwjaar","Soort dak","Wonen","Externe bergruimte","Perceel","Inhoud","Aantal kamers","Aantal badkamers","Badkamervoorzieningen","Aantal woonlagen","Voorzieningen","Energielabel","Isolatie","Verwarming","Warm water","STRIJP G 1029","Oppervlakte","Eigendomssituatie","Ligging","Tuin","Achtertuin","Ligging tuin","Schuur/berging","Soort parkeergelegenheid","Overige inpandige ruimte","Gebouwgebonden buitenruimte","Soort garage","Capaciteit","Cv-ketel","Specifiek","Servicekosten","Balkon/dakterras","Bijdrage VvE","Soort appartement","Toegankelijkheid"
"37","Zuiderzeelaan 22","1 december 2020","12 januari 2021","6 weken","€ 350.000 kosten koper","€ 2.778","Verkocht","Eengezinswoning, hoekwoning","Bestaande bouw","1969","Zadeldak bedekt met pannen","126 m²","10 m²","257 m²","530 m³","6 kamers (5 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","3 woonlagen","Elektrische deur, elektra en stromend water",NA,"Dakisolatie, HR-glas en muurisolatie","Cv-ketel","Cv-ketel",NA,"17 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin, voortuin en zijtuin","84 m² (14 meter diep en 6 meter breed)","Gelegen op het oosten bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren","33 m²","27 m²","Aangebouwde stenen garage","2 auto's","Nefit HR (gas gestookt combiketel, eigendom)",NA,NA,NA,NA,NA,NA
"38","Meerwater 79","30 december 2020","18 januari 2021","2 weken","€ 369.000 kosten koper","€ 3.844","Verkocht",NA,"Bestaande bouw","2014",NA,"96 m²","19 m²",NA,"310 m³","3 kamers (2 slaapkamers)","1 badkamer","Douche en toilet","3 woonlagen","Airconditioning en buitenzonwering","A Wat betekent dit?","Volledig geïsoleerd","Stadsverwarming","Stadsverwarming",NA,NA,"Volle eigendom","Aan park, in centrum en open ligging",NA,NA,NA,"Inpandig","Betaald parkeren en parkeergarage",NA,"18 m²","Parkeerplaats",NA,NA,NA,"€ 150 per maand",NA,NA,"Portiekflat",NA
"39","Perseuslaan 7","13 november 2020","2 december 2020","2 weken","€ 379.500 kosten koper","€ 2.530","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1972","Zadeldak bedekt met pannen","150 m²","24 m²","194 m²","517 m³","6 kamers (5 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","3 woonlagen","Elektrische deur en elektra",NA,"Dakisolatie en gedeeltelijk dubbel glas","Cv-ketel","Cv-ketel",NA,"18 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin",NA,NA,"Vrijstaande stenen berging","Openbaar parkeren",NA,NA,"Garagebox","1 auto","Vaillant HR (gas gestookt combiketel uit 2019)",NA,NA,NA,NA,NA,NA
"40","Hercules Segherslaan 17","15 januari 2021","1 februari 2021","2 weken","€ 335.000 kosten koper","€ 3.350","Verkocht","Eengezinswoning, eindwoning","Bestaande bouw","1953",NA,"100 m²","39 m²","234 m²","380 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","2 woonlagen en een vliering","Elektrische deur, elektra, verwarming en stromend water","C Wat betekent dit?",NA,"Cv-ketel","Cv-ketel",NA,"234 m²","Volle eigendom",NA,"Achtertuin en voortuin","94 m² (11 meter diep en 8,5 meter breed)","Gelegen op het zuiden bereikbaar via achterom",NA,NA,NA,NA,"Vrijstaande stenen garage","1 auto","Combiketel",NA,NA,NA,NA,NA,NA
"41","Grote Berg 95 d","18 februari 2021","3 maart 2021","13 dagen","€ 325.000 kosten koper","€ 3.963","Verkocht",NA,"Bestaande bouw","1990",NA,"82 m²","4 m²",NA,"258 m³","3 kamers (2 slaapkamers)",NA,NA,"1 woonlaag","Lift en rolluiken",NA,"Dubbel glas, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel",NA,NA,"Volle eigendom","In centrum",NA,NA,NA,NA,"Op afgesloten terrein",NA,"7 m²","Parkeerplaats",NA,"Vaillant (eigendom)",NA,NA,NA,NA,"Portiekflat",NA
"42","'s-Gravenbrakelstraat 12","16 december 2020","30 december 2020","14 dagen","€ 375.000 kosten koper","€ 3.906","Verkocht","Bungalow, eindwoning","Bestaande bouw","1997","Plat dak","96 m²","15 m²","308 m²","400 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","1 woonlaag","Elektra",NA,"Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Cv-ketel en gedeeltelijke vloerverwarming","Cv-ketel",NA,"308 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin","140 m² (14 meter diep en 10 meter breed)","Gelegen op het noorden bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren",NA,"18 m²","Carport",NA,"Gas gestookt combiketel uit 2012, eigendom",NA,NA,NA,NA,NA,NA
"43","Roostenlaan 11 b","9 januari 2021","10 februari 2021","4 weken","€ 319.000 kosten koper","€ 2.848","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1928","Zadeldak bedekt met pannen","112 m²",NA,"118 m²","413 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad","3 woonlagen en een kelder","Natuurlijke ventilatie en TV kabel",NA,NA,"Gaskachels",NA,NA,"118 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin","35 m² (7 meter diep en 5 meter breed)","Gelegen op het oosten bereikbaar via achterom","Aangebouwde stenen berging","Openbaar parkeren","5 m²","1 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Calypsostraat 15","19 februari 2021","8 maart 2021","2 weken","€ 315.000 kosten koper","€ 2.788","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1961","Zadeldak bedekt met pannen","113 m²","9 m²","152 m²","375 m³","5 kamers (4 slaapkamers)","1 badkamer en 2 aparte toiletten","Ligbad","3 woonlagen","Airconditioning, buitenzonwering, dakraam, rookkanaal en TV kabel",NA,"Dubbel glas","Cv-ketel","Cv-ketel",NA,"152 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin","50 m² (10 meter diep en 5,85 meter breed)","Gelegen op het westen bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren",NA,"2 m²",NA,NA,"Nefit (gas gestookt combiketel uit 2000, eigendom)",NA,NA,"Balkon aanwezig",NA,NA,NA
"45","Hendrik Mandestraat 24","16 januari 2021","12 februari 2021","3 weken","€ 225.000 kosten koper","€ 3.169","Verkocht","Eengezinswoning, hoekwoning","Bestaande bouw","1959","Zadeldak bedekt met asbest en pannen","71 m²","8 m²","222 m²","295 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche","2 woonlagen en een zolder","Elektra","F 2,56 Wat betekent dit?","Geen isolatie","Cv-ketel","Cv-ketel",NA,"222 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin, voortuin en zijtuin","121 m² (13,6 meter diep en 8,9 meter breed)","Gelegen op het westen bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren","13 m²",NA,NA,NA,"Nefit Proline HRC (gas gestookt combiketel uit 2013, eigendom)","Kluswoning",NA,NA,NA,NA,NA
"46","Orleanshof 12","15 januari 2021","5 februari 2021","3 weken","€ 325.000 kosten koper","€ 2.778","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1979","Zadeldak bedekt met pannen","117 m²","11 m²","178 m²","407 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","3 woonlagen","Elektra","C Wat betekent dit?","Dakisolatie, HR-glas, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel",NA,"178 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin","72 m² (15 meter diep en 5,5 meter breed)","Gelegen op het noorden bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren",NA,"23 m²",NA,NA,"Gas gestookt combiketel uit 2007",NA,NA,NA,NA,NA,NA
"47","Genovevalaan 89","7 januari 2021","20 januari 2021","13 dagen","€ 289.000 kosten koper","€ 2.627","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1963","Zadeldak bedekt met pannen","110 m²","10 m²","166 m²","374 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet",NA,"3 woonlagen","Elektra","C Wat betekent dit?","Dakisolatie en grotendeels dubbelglas","Cv-ketel","Cv-ketel",NA,"166 m²","Volle eigendom","Aan park en in woonwijk","Achtertuin en voortuin","68 m² (11,25 meter diep en 6 meter breed)","Gelegen op het westen bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren",NA,NA,NA,NA,"Itho (gas gestookt combiketel uit 2007, eigendom)",NA,NA,NA,NA,NA,NA
"48","Alsacelaan 39","10 december 2020","12 maart 2021","3 maanden","€ 250.000 kosten koper","€ 2.841","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1981","Zadeldak bedekt met pannen","88 m²","12 m²","173 m²","315 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Sauna, ligbad en toilet","2 woonlagen en een vliering","Elektra","B Wat betekent dit?","Dakisolatie en dubbel glas","Cv-ketel","Cv-ketel",NA,"173 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin","68 m² (11,5 meter diep en 5,9 meter breed)","Gelegen op het oosten","Vrijstaande stenen berging","Op eigen terrein en openbaar parkeren",NA,NA,"Carport",NA,"Remeha (gas gestookt uit 2009, eigendom)",NA,NA,NA,NA,NA,NA
"49","Urkhovenseweg 472","2 februari 2021","21 februari 2021","2 weken","€ 225.000 kosten koper","€ 2.123","Verkocht",NA,"Bestaande bouw","1973","Plat dak bedekt met bitumineuze dakbedekking","106 m²","6 m²",NA,"342 m³","4 kamers (3 slaapkamers)",NA,NA,"1 woonlaag","Glasvezelkabel, lift en TV kabel","E Wat betekent dit?","Dubbel glas","Blokverwarming","Centrale voorziening",NA,NA,"Volle eigendom","In woonwijk",NA,NA,NA,"Inpandig","Openbaar parkeren",NA,"19 m²",NA,NA,NA,NA,"€ 300 per maand",NA,"€ 300,00 per maand","Portiekflat (appartement)",NA
"50","Generaal de Carislaan 44","18 december 2020","8 januari 2021","3 weken","€ 225.000 kosten koper","€ 3.082","Verkocht",NA,"Bestaande bouw","1965",NA,"73 m²","9 m²",NA,"240 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet",NA,"3 woonlagen","Elektra","C Wat betekent dit?",NA,"Blokverwarming","Geiser",NA,NA,"Volle eigendom","In woonwijk",NA,NA,NA,"Inpandig","Openbaar parkeren",NA,"7 m²",NA,NA,NA,NA,"€ 152 per maand",NA,"€ 152,00 per maand","Portiekflat (appartement)",NA
"51","Heeghtakker 80 a","26 februari 2021","8 maart 2021","10 dagen","€ 250.000 kosten koper","€ 3.425","Verkocht",NA,"Bestaande bouw","1978","Plat dak","73 m²","12 m²",NA,"215 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en douche","9 woonlagen","Buitenzonwering","C Wat betekent dit?","Dakisolatie en gedeeltelijk dubbel glas","Blokverwarming","Centrale voorziening",NA,NA,"Volle eigendom",NA,NA,NA,NA,"Inpandig","Openbaar parkeren",NA,"7 m²","Carport",NA,NA,NA,"€ 193 per maand","Balkon aanwezig","€ 193,18 per maand","Portiekflat",NA
"52","de Koppele 96","9 januari 2021","28 januari 2021","2 weken","€ 425.000 kosten koper","€ 3.036","Verkocht","Eengezinswoning, hoekwoning","Bestaande bouw","1971","Zadeldak","140 m²","9 m²","295 m²","588 m³","5 kamers (4 slaapkamers)","1 badkamer en 2 aparte toiletten","Douche","2 woonlagen en een zolder","Elektrische deur, elektra en verwarming","C Wat betekent dit?","Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel",NA,"295 m²","Volle eigendom","In woonwijk","Achtertuin, voortuin en zijtuin","132 m² (11 meter diep en 12 meter breed)","Gelegen op het zuidoosten bereikbaar via achterom","Vrijstaande stenen berging","Op eigen terrein en openbaar parkeren","32 m²",NA,"Inpandig","2 auto's","Vaillant HR (gas gestookt combiketel uit 2004, eigendom)",NA,NA,NA,NA,NA,NA
"53","Champagnehof 18","7 januari 2021","28 januari 2021","3 weken","€ 395.000 kosten koper","€ 2.599","Verkocht","Eengezinswoning, hoekwoning","Bestaande bouw","1979","Zadeldak bedekt met pannen","152 m²","12 m²","540 m²","608 m³","6 kamers (5 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","3 woonlagen","TV kabel","C Wat betekent dit?","Dakisolatie, dubbel glas en muurisolatie","Cv-ketel","Cv-ketel",NA,"540 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin","384 m² (12 meter diep en 32 meter breed)","Gelegen op het westen",NA,"Openbaar parkeren","26 m²","6 m²","Aangebouwde stenen garage","1 auto","Nefit ( combiketel uit 2015)",NA,NA,NA,NA,NA,NA
"54","Seinelaan 71","2 oktober 2020","19 januari 2021","3½ maand","€ 650.000 kosten koper","€ 2.471","Verkocht","Eengezinswoning, vrijstaande woning","Bestaande bouw","1991","Zadeldak bedekt met pannen","263 m²",NA,"608 m²","1.428 m³","7 kamers (5 slaapkamers)","1 badkamer en 2 aparte toiletten","Ligbad en douche","3 woonlagen en een kelder","Alarminstallatie, mechanische ventilatie, natuurlijke ventilatie en rookkanaal","B Wat betekent dit?","Volledig geïsoleerd","Cv-ketel en heteluchtverwarming","Cv-ketel en elektrische boiler",NA,"608 m²","Volle eigendom","Aan rustige weg en in woonwijk","Tuin rondom",NA,NA,NA,"Op eigen terrein en openbaar parkeren","166 m²","3 m²","Carport",NA,"Nefit Topline (2014), Brink Allure (2020) (gas gestookt, eigendom)",NA,NA,NA,NA,NA,NA
"55","Graslinnen 21","3 februari 2021","19 februari 2021","2 weken","€ 450.000 kosten koper","€ 3.000","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","2012",NA,"150 m²","5 m²","154 m²","530 m³","6 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","3 woonlagen","Elektra","A Wat betekent dit?","Volledig geïsoleerd","Stadsverwarming en gedeeltelijke vloerverwarming","Centrale voorziening",NA,"154 m²","Volle eigendom","In woonwijk en vrij uitzicht","Achtertuin en voortuin","71 m² (11,9 meter diep en 6 meter breed)","Gelegen op het noordwesten bereikbaar via achterom","Vrijstaande houten berging","Openbaar parkeren",NA,NA,NA,NA,NA,NA,NA,"Frans balkon aanwezig",NA,NA,NA
"56","Ridderzaal 71","19 december 2020","8 februari 2021","7 weken","€ 379.000 kosten koper","€ 2.871","Verkocht","Eengezinswoning, hoekwoning","Bestaande bouw","1980",NA,"132 m²","31 m²","258 m²","447 m³","6 kamers (5 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen","Elektra","C Wat betekent dit?",NA,"Cv-ketel","Cv-ketel",NA,"258 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin","128 m² (16 meter diep en 8 meter breed)","Gelegen op het oosten bereikbaar via achterom","Vrijstaande stenen berging",NA,NA,"19 m²","Vrijstaande stenen garage","1 auto","Remeha Avanta (gas gestookt combiketel uit 2010, eigendom)",NA,NA,NA,NA,NA,NA
"57","Nestorlaan 13","22 januari 2021","10 februari 2021","2 weken","€ 425.000 kosten koper","€ 2.833","Verkocht","Eengezinswoning, hoekwoning","Bestaande bouw","1961","Zadeldak","150 m²","17 m²","333 m²","514 m³","6 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen","Elektra","E Wat betekent dit?","Dubbel glas en vloerisolatie","Cv-ketel","Cv-ketel",NA,"333 m²","Volle eigendom","Aan park, aan rustige weg, aan water, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin","132 m² (11,5 meter diep en 11,5 meter breed)","Gelegen op het westen bereikbaar via achterom",NA,"Op eigen terrein en openbaar parkeren",NA,"18 m²","Parkeerplaats en vrijstaande stenen garage","1 auto","Combiketel uit 2017, eigendom",NA,NA,"Dakterras aanwezig en balkon aanwezig",NA,NA,NA
"58","Amienslaan 15","14 januari 2021","25 januari 2021","11 dagen","€ 280.000 kosten koper","€ 2.887","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1983","Zadeldak bedekt met pannen","97 m²","12 m²","139 m²","330 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","3 woonlagen","Elektra","C Wat betekent dit?","Dakisolatie, dubbel glas en vloerisolatie","Cv-ketel","Cv-ketel",NA,"139 m²","Volle eigendom","Aan park, aan rustige weg en in woonwijk","Achtertuin","58 m² (11,6 meter diep en 5 meter breed)","Gelegen op het noordwesten bereikbaar via achterom","Vrijstaande stenen berging","Op eigen terrein en openbaar parkeren",NA,NA,NA,NA,"Gas gestookt combiketel, eigendom",NA,NA,NA,NA,NA,NA
"59","De Remise 20","22 december 2020","3 februari 2021","6 weken","€ 300.000 kosten koper","€ 3.846","Verkocht",NA,"Bestaande bouw","1995","Plat dak bedekt met bitumineuze dakbedekking","78 m²","5 m²",NA,"233 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en douche","1 woonlaag","Glasvezelkabel, lift, rolluiken, schuifpui en TV kabel","C Wat betekent dit?","Dakisolatie, dubbel glas en muurisolatie","Cv-ketel","Cv-ketel",NA,NA,"Volle eigendom","In centrum",NA,NA,NA,NA,"Parkeergarage",NA,"5 m²",NA,NA,"Remeha Tzerra CW 4 (gas gestookt combiketel uit 2013, eigendom)",NA,NA,"Balkon aanwezig","€ 140,00 per maand","Galerijflat (appartement)",NA
"60","Picardiehof 11","21 januari 2021","27 januari 2021","6 dagen","€ 479.000 kosten koper","€ 2.834","Verkocht","Eengezinswoning, geschakelde woning","Bestaande bouw","1978","Zadeldak bedekt met pannen","169 m²","14 m²","306 m²","647 m³","5 kamers (4 slaapkamers)","1 badkamer","Ligbad en toilet","3 woonlagen","Elektrische deur, elektra en stromend water","B Wat betekent dit?",NA,"Cv-ketel","Cv-ketel",NA,"306 m²","Volle eigendom",NA,"Achtertuin en voortuin","150 m² (15 meter diep en 10 meter breed)","Gelegen op het oosten","Vrijstaande houten berging","Op eigen terrein en openbaar parkeren","20 m²","4 m²","Inpandig","1 auto","Remeha Avanta ( combiketel uit 2008, eigendom)",NA,NA,NA,NA,NA,NA
"61","Veldmaarschalk Montgomerylaan 262","12 februari 2021","15 februari 2021","3 dagen","€ 259.000 kosten koper","€ 3.120","Verkocht",NA,"Bestaande bouw","1964","Plat dak bedekt met bitumineuze dakbedekking","83 m²",NA,NA,"271 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet",NA,"3 woonlagen","Elektra",NA,"Gedeeltelijk dubbel glas","Blokverwarming","Centrale voorziening",NA,NA,"Volle eigendom","In centrum, in woonwijk en vrij uitzicht",NA,NA,NA,"Inpandig","Openbaar parkeren","8 m²","11 m²",NA,NA,NA,NA,"€ 255 per maand",NA,"€ 255,00 per maand","Portiekflat (appartement)",NA
"62","Maalakker 60","6 februari 2021","24 februari 2021","2 weken","€ 289.000 kosten koper","€ 2.726","Verkocht",NA,"Bestaande bouw","1977",NA,"106 m²","8 m²",NA,"336 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche","1 woonlaag","Elektra","E 2,32 Wat betekent dit?",NA,"Blokverwarming","Centrale voorziening",NA,NA,"Volle eigendom","Aan rustige weg, in woonwijk en vrij uitzicht",NA,NA,NA,"Inpandig","Openbaar parkeren",NA,"16 m²",NA,NA,NA,NA,NA,"Balkon aanwezig",NA,"Portiekflat (appartement)",NA
"63","Smalle Haven 59","15 december 2020","18 januari 2021","4 weken","€ 675.000 kosten koper","€ 5.114","Verkocht",NA,"Bestaande bouw","2006","Plat dak bedekt met bitumineuze dakbedekking","132 m²","11 m²",NA,"446 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","27 woonlagen","Elektra","A Wat betekent dit?","Geen isolatie","Cv-ketel","Cv-ketel",NA,NA,"Volle eigendom","In centrum en vrij uitzicht",NA,NA,NA,"Inpandig","Openbaar parkeren",NA,"12 m²","Parkeerkelder en parkeerplaats",NA,"Vaillant HR (gas gestookt combiketel uit 2006, eigendom)",NA,NA,"Balkon aanwezig","€ 475,00 per maand","Portiekflat (appartement)",NA
"64","Bleekweg 13","18 februari 2021","24 februari 2021","6 dagen","€ 250.000 kosten koper","€ 5.000","Verkocht",NA,"Bestaande bouw","1976","Plat dak bedekt met bitumineuze dakbedekking","50 m²","3 m²",NA,"160 m³","2 kamers (1 slaapkamer)","1 badkamer en 1 apart toilet","Douche","1 woonlaag","Elektra","B Wat betekent dit?","Dubbel glas en muurisolatie","Cv-ketel","Cv-ketel",NA,NA,"Volle eigendom","Aan water, in centrum, in woonwijk en vrij uitzicht",NA,NA,NA,"Inpandig",NA,NA,"6 m²","Parkeerkelder",NA,"Vaillant (gas gestookt combiketel uit 2020)",NA,"€ 150 per maand","Balkon aanwezig","€ 150,00 per maand","Galerijflat (appartement)","Toegankelijk voor minder validen en toegankelijk voor ouderen"
