"","Adres","Aangeboden sinds","Verkoopdatum","Looptijd","Laatste vraagprijs","Vraagprijs per m²","Status","Soort woonhuis","Soort bouw","Bouwjaar","Soort dak","Wonen","Overige inpandige ruimte","Perceel","Inhoud","Aantal kamers","Aantal badkamers","Badkamervoorzieningen","Aantal woonlagen","Voorzieningen","Energielabel","Isolatie","Verwarming","Warm water","Cv-ketel","Oppervlakte","Eigendomssituatie","Ligging","Tuin","Voortuin","Ligging tuin","Soort garage","Capaciteit","Soort parkeergelegenheid","Soort appartement","Gebouwgebonden buitenruimte","Externe bergruimte","Balkon/dakterras","Inschrijving KvK","Jaarlijkse vergadering","Periodieke bijdrage","Reservefonds aanwezig","Onderhoudsplan","Opstalverzekering","Schuur/berging","Bijdrage VvE","Gelegen op","Voorlopig energielabel","Bouwperiode","Achtertuin"
"598","Plantsoenstraat 4","11 september 2020","6 oktober 2020","3 weken","€ 299.500 kosten koper","€ 2.604","Verkocht","Eengezinswoning, hoekwoning","Bestaande bouw","1916","Plat dak bedekt met bitumineuze dakbedekking","115 m²",NA,"262 m²","452 m³","4 kamers (3 slaapkamers)","1 badkamer","Toilet","2 woonlagen",NA,"G Wat betekent dit?","Dakisolatie en gedeeltelijk dubbel glas","Cv-ketel","Cv-ketel",NA,"262 m²","Volle eigendom","Aan rustige weg, beschutte ligging en in woonwijk","Achtertuin, voortuin en zijtuin",NA,NA,NA,NA,"Openbaar parkeren",NA,"13 m²","13 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"599","Osingastate 9","13 augustus 2020","1 oktober 2020","7 weken","€ 189.000 kosten koper","€ 1.575","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1979",NA,"120 m²",NA,"158 m²","423 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","2 woonlagen en een zolder",NA,NA,"Dubbel glas","Cv-ketel",NA,"Gas gestookt combiketel uit 2011, eigendom","158 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin",NA,"Gelegen op het zuidwesten","Carport",NA,NA,NA,NA,"7 m²",NA,NA,NA,NA,NA,NA,NA,"Vrijstaande stenen berging",NA,NA,"C Wat betekent dit?",NA,"60 m² (8,5 meter diep en 7 meter breed)"
"600","Willem Lodewijkstraat 69","21 augustus 2020","1 oktober 2020","5 weken","€ 175.000 kosten koper","€ 1.423","Verkocht","Eengezinswoning, eindwoning","Bestaande bouw","1908","Plat dak bedekt met bitumineuze dakbedekking","123 m²",NA,"110 m²","493 m³","5 kamers (4 slaapkamers)","1 badkamer","Ligbad","2 woonlagen","Glasvezelkabel, natuurlijke ventilatie, rookkanaal en TV kabel","E Wat betekent dit?","Dakisolatie en gedeeltelijk dubbel glas","Cv-ketel","Cv-ketel","Remeha (gas gestookt combiketel uit 2000, eigendom)","110 m²","Volle eigendom","Aan drukke weg, in woonwijk en vrij uitzicht","Achtertuin",NA,"Gelegen op het noorden",NA,NA,"Openbaar parkeren en parkeervergunningen",NA,"1 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 m² (5 meter diep en 6 meter breed)"
"601","Houtduifstraat 4","11 september 2020","10 oktober 2020","4 weken","€ 239.000 kosten koper","€ 2.390","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1930","Zadeldak bedekt met pannen","100 m²","4 m²","104 m²","417 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","2 woonlagen en een zolder","Elektra",NA,"Dakisolatie, gedeeltelijk dubbel glas en voorzetramen","Cv-ketel","Cv-ketel","AWB HR (gas gestookt combiketel uit 2000, eigendom)","104 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin",NA,"Gelegen op het zuidoosten bereikbaar via achterom",NA,NA,"Parkeervergunningen",NA,"8 m²",NA,"Dakterras aanwezig",NA,NA,NA,NA,NA,NA,"Aangebouwde houten berging",NA,NA,"F Wat betekent dit?",NA,"15 m² (6 meter diep en 2,5 meter breed)"
"602","Tesselschadestraat 39 A","27 maart 2020","1 juli 2020","3 maanden","€ 269.000 vrij op naam","€ 2.862","Verkocht",NA,"Nieuwbouw","2019",NA,"94 m²",NA,NA,"244 m³","4 kamers (2 slaapkamers)",NA,NA,"4 woonlagen","Elektra","Niet beschikbaar","Volledig geïsoleerd","Gehele vloerverwarming en warmtepomp",NA,NA,NA,NA,"In centrum",NA,NA,NA,"Carport en parkeerkelder",NA,"Op afgesloten terrein","Portiekflat (appartement)","8 m²","6 m²",NA,"Nee","Nee","Nee","Nee","Nee","Nee","Inpandig",NA,"1e woonlaag",NA,NA,NA
"603","Achter de Hoven 89","21 september 2020","5 oktober 2020","14 dagen","€ 219.000 kosten koper","€ 1.973","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1906","Plat dak bedekt met bitumineuze dakbedekking en pannen","111 m²",NA,"137 m²","424 m³","4 kamers (3 slaapkamers)","1 badkamer","Douche en toilet","2 woonlagen","Natuurlijke ventilatie","F Wat betekent dit?","Dubbel glas, muurisolatie en vloerisolatie","Cv-ketel en gedeeltelijke vloerverwarming","Cv-ketel","Remeha (gas gestookt combiketel uit 2015, eigendom)","137 m²","Volle eigendom","In woonwijk","Achtertuin",NA,"Gelegen op het noorden",NA,NA,"Parkeervergunningen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aangebouwde stenen berging",NA,NA,NA,NA,"50 m² (10 meter diep en 5 meter breed)"
"604","Camminghastraat 8","21 augustus 2020","3 september 2020","13 dagen","€ 350.000 kosten koper","€ 2.229","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1927","Zadeldak bedekt met pannen","157 m²","15 m²","222 m²","614 m³","6 kamers (5 slaapkamers)","2 badkamers en 1 apart toilet","Ligbad, douche en 2 toiletten","3 woonlagen en een zolder","Dakraam, glasvezelkabel, natuurlijke ventilatie en TV kabel","D Wat betekent dit?","Dakisolatie, HR-glas en vloerisolatie","Cv-ketel","Cv-ketel","HR-107 ( combiketel uit 2017, eigendom)","222 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin",NA,"Gelegen op het zuidwesten bereikbaar via achterom",NA,NA,"Openbaar parkeren",NA,"12 m²","9 m²","Balkon aanwezig",NA,NA,NA,NA,NA,NA,"Vrijstaande houten berging",NA,NA,NA,NA,"120 m² (15 meter diep en 8 meter breed)"
"605","Meidoornstraat 24","22 september 2020","5 oktober 2020","13 dagen","€ 175.000 kosten koper","€ 1.823","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1930","Zadeldak bedekt met pannen","96 m²",NA,"122 m²","350 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche","3 woonlagen","Glasvezelkabel, rookkanaal en TV kabel",NA,"Dakisolatie, dubbel glas en HR-glas","Cv-ketel","Cv-ketel","AWB (2001, eigendom)","122 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin",NA,"Gelegen op het zuidoosten bereikbaar via achterom",NA,NA,"Parkeervergunningen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F Wat betekent dit?",NA,"61 m² (11 meter diep en 5,5 meter breed)"
"606","De Gronzen 10","17 augustus 2020","1 september 2020","2 weken","€ 260.000 kosten koper","€ 1.857","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","2006","Zadeldak bedekt met pannen","140 m²",NA,"191 m²","456 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","3 woonlagen","Buitenzonwering en dakraam","A Wat betekent dit?","Volledig geïsoleerd","Cv-ketel en warmte terugwininstallatie","Cv-ketel","AWB (gas gestookt combiketel uit 2006, eigendom)","191 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin",NA,"Gelegen op het westen bereikbaar via achterom",NA,NA,"Op eigen terrein en openbaar parkeren",NA,NA,"11 m²",NA,NA,NA,NA,NA,NA,NA,"Vrijstaande houten berging",NA,NA,NA,NA,"91 m² (16 meter diep en 5,7 meter breed)"
"607","Spoorstraat 144","11 september 2020","2 oktober 2020","3 weken","€ 225.000 kosten koper","€ 1.800","Verkocht","Eengezinswoning, eindwoning","Bestaande bouw","1910","Plat dak","125 m²","15 m²","220 m²","514 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","2 woonlagen",NA,"D Wat betekent dit?","Gedeeltelijk dubbel glas, HR-glas, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel","Remeha (gas gestookt uit 2019, lease)","220 m²","Volle eigendom","Aan rustige weg","Achtertuin en voortuin",NA,"Gelegen op het zuiden bereikbaar via achterom",NA,NA,"Openbaar parkeren",NA,"10 m²",NA,NA,NA,NA,NA,NA,NA,NA,"Aangebouwde houten berging",NA,NA,NA,NA,"105 m² (21 meter diep en 5 meter breed)"
"608","Keizerskroon 34","21 augustus 2020","15 september 2020","3 weken","€ 199.000 kosten koper","€ 1.730","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1975","Zadeldak bedekt met pannen","115 m²",NA,"126 m²","397 m³","5 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","3 woonlagen","Natuurlijke ventilatie en TV kabel","C Wat betekent dit?","Dakisolatie, dubbel glas en muurisolatie","Cv-ketel","Cv-ketel","Nefit (gas gestookt combiketel uit 1998, eigendom)","126 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin",NA,"Gelegen op het zuidoosten bereikbaar via achterom",NA,NA,"Openbaar parkeren",NA,"11 m²","12 m²",NA,NA,NA,NA,NA,NA,NA,"Aangebouwde stenen berging",NA,NA,NA,NA,"240 m² (60 meter diep en 4 meter breed)"
"609","Nynke van Hichtumwei 38","11 augustus 2020","24 augustus 2020","13 dagen","€ 297.500 kosten koper","€ 2.052","Verkocht","Eengezinswoning, 2-onder-1-kapwoning","Bestaande bouw","1979","Zadeldak bedekt met pannen","145 m²","23 m²","302 m²","575 m³","6 kamers (5 slaapkamers)","1 badkamer en 2 aparte toiletten","Ligbad en toilet","2 woonlagen en een zolder","Elektra, verwarming en stromend water","C Wat betekent dit?","Dakisolatie, dubbel glas en muurisolatie","Cv-ketel","Cv-ketel","AWB (gas gestookt combiketel, eigendom)","302 m²","Volle eigendom","In woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin",NA,"Gelegen op het westen bereikbaar via achterom","Aangebouwde stenen garage","1 auto",NA,NA,"5 m²","4 m²",NA,NA,NA,NA,NA,NA,NA,"Vrijstaande houten berging",NA,NA,NA,NA,"168 m² (14 meter diep en 12 meter breed)"
"610","Konvooistraat 25 c","11 september 2020","2 oktober 2020","3 weken","€ 135.000 kosten koper
Hypotheekadvies","€ 2.177","Verkocht",NA,"Bestaande bouw","1967","Plat dak bedekt met bitumineuze dakbedekking","62 m²",NA,NA,"206 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet",NA,"1 woonlaag","Elektra","C 1,43 Wat betekent dit?","Dubbel glas","Cv-ketel","Cv-ketel","Ferroli (gas gestookt combiketel uit 2010, eigendom)",NA,"Volle eigendom","Aan rustige weg, aan water en in woonwijk","Zonneterras",NA,"Gelegen op het westen",NA,NA,"Openbaar parkeren","Portiekflat (appartement)","13 m²","5 m²","Balkon aanwezig","Ja","Ja","Ja (€ 89,00 per maand)","Ja","Ja","Ja","Inpandig","€ 89,00 per maand","3e woonlaag",NA,NA,NA
"611","Buorkerij 106","7 juli 2020","19 augustus 2020","6 weken","€ 289.500 kosten koper
Hypotheekadvies","€ 2.193","Verkocht","Eengezinswoning, eindwoning","Bestaande bouw","2010","Schilddak bedekt met bitumineuze dakbedekking en pannen","132 m²","3 m²","152 m²","495 m³","6 kamers (5 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen en een zolder",NA,NA,"Volledig geïsoleerd",NA,NA,NA,"152 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin",NA,"Gelegen op het oosten bereikbaar via achterom",NA,NA,"Op eigen terrein en openbaar parkeren",NA,NA,"5 m²",NA,NA,NA,NA,NA,NA,NA,"Vrijstaande houten berging",NA,NA,"A Wat betekent dit?",NA,"66 m² (12 meter diep en 5,5 meter breed)"
"612","Noteboomstraat 9","7 september 2020","29 september 2020","3 weken","€ 142.500 kosten koper","€ 2.065","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1930","Zadeldak bedekt met pannen","69 m²",NA,"73 m²","242 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche","2 woonlagen","Natuurlijke ventilatie","F Wat betekent dit?","Dakisolatie en dubbel glas","Cv-ketel","Cv-ketel","HR (2015, eigendom)","73 m²","Volle eigendom",NA,"Achtertuin",NA,"Gelegen op het oosten bereikbaar via achterom",NA,NA,NA,NA,"1 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13 m² (5 meter diep en 2,5 meter breed)"
"613","It Dwershûs 15","7 augustus 2020","2 september 2020","3 weken","€ 250.000 kosten koper","€ 2.252","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","2010","Zadeldak bedekt met pannen","111 m²","19 m²","141 m²","404 m³","6 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en douche","2 woonlagen en een zolder","Elektra","A Wat betekent dit?","Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Stadsverwarming","Stadsverwarming",NA,"141 m²","Volle eigendom","Beschutte ligging, in woonwijk en vrij uitzicht","Achtertuin en voortuin",NA,"Gelegen op het noorden bereikbaar via achterom",NA,NA,"Openbaar parkeren",NA,NA,"5 m²",NA,NA,NA,NA,NA,NA,NA,"Vrijstaande houten berging",NA,NA,NA,NA,"72 m² (12 meter diep en 6 meter breed)"
"614","Moezel 17","9 mei 2020","21 augustus 2020","3 maanden","€ 235.000 kosten koper","€ 1.836","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","2003","Zadeldak bedekt met pannen","128 m²","25 m²","198 m²","507 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","3 woonlagen","Elektra","A 0,96 Wat betekent dit?","Dakisolatie, dubbel glas, muurisolatie en vloerisolatie",NA,NA,NA,"198 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin",NA,NA,NA,NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aangebouwde stenen berging",NA,NA,NA,NA,NA
"615","Bouwkavel F5 (Bouwnr. 5)","3 juli 2020","2 oktober 2020","2½ maand","€ 149.900 vrij op naam",NA,"Verkocht",NA,NA,NA,NA,NA,NA,"884 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"616","Bouwkavel F8 (Bouwnr. 8)","3 juli 2020","28 september 2020","2½ maand","€ 129.500 vrij op naam",NA,"Verkocht",NA,NA,NA,NA,NA,NA,"736 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"617","De Parels C8 (Bouwnr. 8)","3 juli 2020","1 oktober 2020","2½ maand","€ 299.000 vrij op naam",NA,"Verkocht",NA,NA,NA,NA,NA,NA,"2.775 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"618","Lijsterstraat 35","10 juli 2020","7 september 2020","8 weken","€ 319.500 kosten koper","€ 2.035","Verkocht","Herenhuis, tussenwoning","Bestaande bouw","1923","Samengesteld dak bedekt met metaal","157 m²",NA,"132 m²","593 m³","6 kamers (5 slaapkamers)","1 badkamer en 2 aparte toiletten","Ligbad en toilet","3 woonlagen","Glasvezelkabel","C Wat betekent dit?","Dakisolatie, gedeeltelijk dubbel glas, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel","AWB (gas gestookt combiketel uit 2004, eigendom)","132 m²","Volle eigendom","Aan rustige weg, beschutte ligging en in woonwijk","Achtertuin",NA,"Gelegen op het zuidwesten bereikbaar via achterom",NA,NA,"Openbaar parkeren en parkeervergunningen",NA,"5 m²",NA,"Balkon aanwezig",NA,NA,NA,NA,NA,NA,"Aangebouwde houten berging",NA,NA,NA,NA,"26 m² (7,5 meter diep en 3,5 meter breed)"
"619","Heliconweg 26 C","6 augustus 2020","23 september 2020","6 weken","€ 179.000 kosten koper","€ 2.594","Verkocht",NA,"Bestaande bouw","1958","Plat dak bedekt met bitumineuze dakbedekking","69 m²",NA,NA,"265 m³","3 kamers (2 slaapkamers)","1 apart toilet",NA,"1 woonlaag",NA,NA,"Grotendeels dubbelglas","Cv-ketel","Cv-ketel","Gas gestookt combiketel, eigendom",NA,"Volle eigendom","Aan rustige weg",NA,NA,NA,NA,NA,NA,"Portiekflat (appartement)","8 m²","14 m²","Balkon aanwezig","Nee","Nee","Nee","Nee","Nee","Nee","Inpandig",NA,NA,"E Wat betekent dit?",NA,NA
"620","Engelsestraat 14","22 augustus 2020","16 september 2020","3 weken","€ 300.000 kosten koper","€ 2.419","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw",NA,"Zadeldak bedekt met pannen","124 m²",NA,"103 m²","453 m³","5 kamers (4 slaapkamers)","1 badkamer en 2 aparte toiletten",NA,"3 woonlagen","Natuurlijke ventilatie",NA,"Dakisolatie, HR-glas, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel","HR (gas gestookt combiketel uit 2020, eigendom)","103 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin",NA,"Gelegen op het westen bereikbaar via achterom",NA,NA,"Parkeervergunningen",NA,"4 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F Wat betekent dit?","1931-1944","18 m² (5,4 meter diep en 3,3 meter breed)"
"621","Koudenburg 29","21 augustus 2020","14 september 2020","3 weken","€ 259.000 kosten koper","€ 1.891","Verkocht","Eengezinswoning, 2-onder-1-kapwoning","Bestaande bouw","1981","Zadeldak bedekt met pannen","137 m²",NA,"295 m²","480 m³","6 kamers (3 slaapkamers)",NA,NA,"3 woonlagen","Elektra","C 1,77 Wat betekent dit?","Gedeeltelijk dubbel glas en vloerisolatie","Cv-ketel","Cv-ketel","HR Combi (gas gestookt combiketel uit 2018, eigendom)","295 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin",NA,"Gelegen op het zuidoosten","Aangebouwde stenen garage","1 auto","Op eigen terrein",NA,"18 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"153 m² (17 meter diep en 9 meter breed)"
"622","Bouwnummer (Bouwnr. 21)","30 oktober 2019","3 september 2020","10 maanden","€ 130.000 vrij op naam
Hypotheekadvies",NA,"Verkocht",NA,NA,NA,NA,NA,NA,"521 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"623","de Kei 564","22 juli 2020","20 augustus 2020","4 weken","€ 155.000 kosten koper","€ 1.240","Verkocht","Eengezinswoning, eindwoning","Bestaande bouw","1970","Plat dak bedekt met bitumineuze dakbedekking","125 m²","10 m²","128 m²","473 m³","5 kamers (4 slaapkamers)",NA,NA,"1 woonlaag","Elektra","D Wat betekent dit?","Dubbel glas","Cv-ketel","Cv-ketel","ATAG (gas gestookt combiketel uit 2012, huur)","128 m²","Volle eigendom","Aan bosrand, aan rustige weg en in woonwijk","Achtertuin",NA,"Gelegen op het westen",NA,NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Inpandig",NA,NA,NA,NA,"36 m² (6,69 meter diep en 5,39 meter breed)"
"624","Friesburg 39","24 augustus 2020","16 september 2020","3 weken","€ 199.500 kosten koper","€ 1.797","Verkocht","Eengezinswoning, geschakelde woning","Bestaande bouw",NA,"Zadeldak bedekt met pannen","111 m²",NA,"133 m²","387 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","2 woonlagen en een zolder","Elektra",NA,"Dubbel glas","Cv-ketel","Cv-ketel","Remeha Avanta (gas gestookt combiketel uit 2012, eigendom)","133 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin",NA,"Gelegen op het noordwesten bereikbaar via achterom",NA,NA,"Openbaar parkeren",NA,"1 m²","9 m²",NA,NA,NA,NA,NA,NA,NA,"Vrijstaande stenen berging",NA,NA,"C Wat betekent dit?","1981-1990","58 m² (10,5 meter diep en 5,5 meter breed)"
"625","Winterakoniet 13","9 juli 2020","1 september 2020","7 weken","€ 219.500 kosten koper","€ 1.909","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1974",NA,"115 m²","20 m²","161 m²","439 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","2 woonlagen en een zolder",NA,NA,"Dakisolatie, dubbel glas en muurisolatie","Cv-ketel",NA,"Gas gestookt combiketel","12 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin",NA,"Gelegen op het oosten","Aangebouwde stenen garage","1 auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C Wat betekent dit?",NA,"63 m² (12,5 meter diep en 5 meter breed)"
"626","Frans Halsstraat 32","30 juli 2020","24 augustus 2020","3 weken","€ 149.500 kosten koper","€ 1.424","Verkocht","Eengezinswoning, eindwoning","Bestaande bouw","1935",NA,"105 m²",NA,"130 m²","375 m³","6 kamers (5 slaapkamers)","1 apart toilet",NA,"2 woonlagen en een zolder",NA,NA,"Gedeeltelijk dubbel glas","Cv-ketel",NA,"Gas gestookt combiketel uit 2014","130 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin",NA,"Gelegen op het westen bereikbaar via achterom",NA,NA,NA,NA,"1 m²","8 m²",NA,NA,NA,NA,NA,NA,NA,"Aangebouwde houten berging",NA,NA,"G Wat betekent dit?",NA,"33 m² (11 meter diep en 3 meter breed)"
"627","Achter de Hoven 225","28 augustus 2020","28 september 2020","4 weken","€ 179.500 kosten koper","€ 1.951","Verkocht","Eengezinswoning, hoekwoning","Bestaande bouw","1928","Zadeldak bedekt met pannen","92 m²","41 m²","218 m²","488 m³","5 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","3 woonlagen","Elektra","F Wat betekent dit?","Dakisolatie en gedeeltelijk dubbel glas","Cv-ketel","Cv-ketel","Intergas ( combiketel uit 2012, eigendom)","218 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin",NA,"Gelegen op het noorden bereikbaar via achterom","Aangebouwde stenen garage","2 auto's","Op eigen terrein en openbaar parkeren",NA,"27 m²",NA,"Dakterras aanwezig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40 m² (8 meter diep en 5 meter breed)"
"628","Jornsmastate 12","29 mei 2020","17 augustus 2020","2½ maand","€ 380.000 kosten koper","€ 2.857","Verkocht","Eengezinswoning, vrijstaande woning","Bestaande bouw","1994","Zadeldak bedekt met pannen","133 m²","32 m²","605 m²","500 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","2 woonlagen en een vliering","Elektra","A Wat betekent dit?","Volledig geïsoleerd","Cv-ketel","Cv-ketel","Intergas HR (gas gestookt combiketel, eigendom)","37 m²","Volle eigendom","In woonwijk","Achtertuin, voortuin en zijtuin",NA,"Gelegen op het westen bereikbaar via achterom","Aangebouwde stenen garage","1 auto","Openbaar parkeren",NA,"6 m²",NA,"Balkon aanwezig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"306 m² (18 meter diep en 17 meter breed)"
